Group,N,Accuracy,F1-Macro
White,24826,0.8715459598807702,0.8400318890631223
Black/African American,3723,0.8638195004029009,0.8214267085571407
American Indian/Alaska Native,190,0.8578947368421053,0.8116870994706046
Native Hawaiian/Pacific Islander,13,0.9230769230769231,0.8939393939393939
Asian,791,0.8596713021491783,0.8318653657075915
Other/Multiracial,286,0.8671328671328671,0.8578815389340755
Unknown,110,0.8727272727272727,0.8510827310502372
